,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[43563],-0.737866,0.00111858,0.0821037,0.08412,-0.875728,-0.734038,-0.608917,5411.85,2670.67,6.47175,1.00299
log_lik[43564],-0.502069,0.00227046,0.175354,0.169892,-0.814702,-0.480977,-0.260579,6671.1,2964.35,7.97762,1.00156
log_lik[43565],-0.873345,0.00364538,0.256758,0.253376,-1.32258,-0.848972,-0.502555,5377.0,2718.3,6.43008,1.00107
log_lik[43566],-0.828337,0.00229895,0.161712,0.160994,-1.11212,-0.816978,-0.58248,5101.23,2882.1,6.1003,1.00121
log_lik[43567],-0.543058,0.00218116,0.159478,0.157877,-0.832936,-0.524676,-0.31365,5523.44,2538.08,6.6052,1.00131
log_lik[43568],-0.521823,0.00249544,0.166709,0.159178,-0.825323,-0.499958,-0.280247,4842.35,2559.34,5.79072,1.00082
log_lik[43569],-0.710584,0.00279601,0.204942,0.197339,-1.08351,-0.689573,-0.404287,5557.21,2585.33,6.64558,1.00251
log_lik[43570],-0.692557,0.00320325,0.229777,0.221307,-1.09479,-0.664137,-0.363063,5493.33,2794.05,6.56919,1.00189
log_lik[43571],-0.632807,0.00292638,0.211031,0.209878,-1.01634,-0.607278,-0.332953,5443.57,2871.09,6.50968,1.00235
log_lik[43572],-0.0812593,0.000898553,0.0543182,0.0398997,-0.181814,-0.067989,-0.0240369,5345.1,2762.66,6.39193,1.00313
log_lik[43573],-0.534258,0.00197175,0.14065,0.132809,-0.785637,-0.520223,-0.331122,5516.48,2889.05,6.59687,1.00309
log_lik[43574],-0.159023,0.0012189,0.0836606,0.0687053,-0.319269,-0.141248,-0.0586563,5875.53,2812.98,7.02624,1.00061
log_lik[43575],-0.650447,0.00230516,0.172038,0.17499,-0.957619,-0.637038,-0.393557,5573.93,2329.58,6.66558,1.0003
log_lik[43576],-0.578898,0.000984977,0.0710705,0.0705599,-0.705058,-0.576826,-0.469727,5219.96,2891.01,6.24228,1.00116
log_lik[43577],-0.663952,0.00279972,0.22275,0.218713,-1.07204,-0.639086,-0.345979,6652.83,2716.71,7.95578,1.00029
log_lik[43578],-0.666257,0.00295253,0.219089,0.219041,-1.05417,-0.642404,-0.355207,5849.61,2890.02,6.99525,1.00197
log_lik[43579],-0.859631,0.00333092,0.246237,0.240968,-1.29547,-0.836523,-0.496746,5611.77,2781.9,6.71083,1.00066
log_lik[43580],-0.55659,0.00112662,0.0802445,0.0814079,-0.695221,-0.550962,-0.43581,5321.05,2345.31,6.36317,1.0011
log_lik[43581],-0.387434,0.00196732,0.139285,0.129559,-0.64617,-0.367377,-0.195925,5873.99,2581.48,7.0244,1.00094
log_lik[43582],-0.351743,0.00194236,0.136571,0.122556,-0.604615,-0.330623,-0.173556,5906.5,2571.72,7.06328,1.00026
log_lik[43583],-0.575538,0.000445325,0.0334457,0.0338018,-0.632043,-0.575011,-0.522261,5680.53,2997.54,6.79306,1.00402
log_lik[43584],-0.172384,0.000461344,0.0364723,0.0361154,-0.237423,-0.169497,-0.117877,6249.79,2706.88,7.47381,1.00299
log_lik[43585],-0.123248,0.000802552,0.0549035,0.0495086,-0.227737,-0.113794,-0.0545203,5476.57,2874.94,6.54915,1.00075
log_lik[43586],-0.307051,0.00132327,0.0954855,0.0917571,-0.482247,-0.295927,-0.169932,5747.32,2788.15,6.87293,0.99986
log_lik[43587],-0.293498,0.000733942,0.0560708,0.0538042,-0.394182,-0.288858,-0.207579,6115.97,2558.77,7.31377,1.00027
log_lik[43588],-0.351262,0.00112448,0.0834911,0.0803297,-0.499727,-0.34313,-0.228185,5810.89,2821.82,6.94895,1.00118
